RK,NAME,POS,GP,ATT,YDS,AVG,LNG,BIG,TD,YDS/G,FUM,LST,FD
240,Connor HeywardPIT,TE,7,1,0,0,0,0,0,0,0,0,0
240,Peyton HendershotDAL,TE,3,1,0,0,0,0,0,0,0,0,0
240,Sean CliffordGB,QB,1,1,0,0,0,0,0,0,1,0,0
240,Dyami BrownWSH,WR,8,1,0,0,0,0,0,0,0,0,0
240,Rakim JarrettTB,WR,7,1,0,0,0,0,0,0,0,0,0
251,Blaine GabbertKC,QB,1,2,-1,-0.5,0,0,0,-1,0,0,0
251,Noah BrownHOU,WR,3,1,-1,-1,-1,0,0,-0.3,0,0,0
251,Jake BrowningCIN,QB,1,1,-1,-1,-1,0,0,-1,0,0,0
251,Jaren HallMIN,QB,1,2,-1,-0.5,0,0,0,-1,0,0,0
255,Teddy BridgewaterDET,QB,1,2,-2,-1,-1,0,0,-2,0,0,0
255,C.J. BeathardJAX,QB,2,3,-2,-0.7,0,0,0,-1,0,0,0
255,Trent TaylorCHI,WR,8,1,-2,-2,-2,0,0,-0.3,0,0,0
255,Jamal AgnewJAX,WR,7,4,-2,-0.5,1,0,0,-0.3,0,0,0
255,Gabe DavisBUF,WR,8,1,-2,-2,-2,0,0,-0.3,0,0,0
255,Jayden ReedGB,WR,7,1,-2,-2,-2,0,0,-0.3,0,0,0
255,Jaylen WaddleMIA,WR,7,1,-2,-2,-2,0,0,-0.3,0,0,0
262,Brian HoyerLV,QB,3,3,-3,-1,-1,0,0,-1,0,0,0
262,Rashee RiceKC,WR,8,1,-3,-3,-3,0,0,-0.4,0,0,0
264,Jameis WinstonNO,QB,3,3,-4,-1.3,-1,0,0,-1.3,0,0,0
264,Nathan PetermanCHI,QB,1,2,-4,-2,-2,0,0,-4,0,0,0
264,Kyle PittsATL,TE,8,1,-4,-4,-4,0,0,-0.5,0,0,0
267,Mike WhiteMIA,QB,2,4,-5,-1.3,-1,0,0,-2.5,0,0,0
267,Sam DarnoldSF,QB,4,5,-5,-1,-1,0,0,-1.3,0,0,0
267,Dee EskridgeSEA,WR,1,1,-5,-5,-5,0,0,-5,0,0,0
267,Kadarius ToneyKC,WR,8,6,-5,-0.8,3,0,0,-0.6,0,0,0
267,Christian WatsonGB,WR,4,1,-5,-5,-5,0,0,-1.3,0,0,0
272,Ja'Marr ChaseCIN,WR,7,3,-6,-2,2,0,0,-0.9,0,0,0
273,Cooper RushDAL,QB,4,7,-7,-1,0,0,0,-1.8,0,0,0
273,Kyle AllenBUF,QB,4,7,-7,-1,-1,0,0,-1.8,0,0,0
